id,question_stem,choices,answerKey,fact1,humanScore,clarity,turkIdAnonymized
814,Which animal lacks the ability to see by sensing light?,"{'text': ['Southern cave crayfish', 'lobster', 'cod', 'salmon'], 'label': ['A', 'B', 'C', 'D']}",A,eyes are used for seeing by animals by sensing light,0.800000011920929,1.600000023841858,be7a45e47c
9-1116,Which animal emits something that many autistic people would be extra sensitive to?,"{'text': ['cow', 'dog', 'cat', 'skunk'], 'label': ['A', 'B', 'C', 'D']}",D,a skunk produces a bad odor,0.800000011920929,0.800000011920929,df774267ec
9-218,which of these usually occur over the shortest period?,"{'text': ['a super size earthquake', 'a torrential rain fall', 'all of these', 'the eruption of a volcano'], 'label': ['A', 'B', 'C', 'D']}",A,an earthquake usually occurs over a period of 10 to 30 seconds,1.0,1.399999976158142,cf7109905e
9-200,If the sun has set it is,"{'text': ['easy to cook a meal', 'time to eat breakfast', 'necessary to wear a coat', 'harder to see outside'], 'label': ['A', 'B', 'C', 'D']}",D,if it is night then the sun has set,1.0,1.2000000476837158,c8d24331a4
7-282,A magnifying glass,"{'text': ['would allow the user to better view the legs on an ant', 'would enhance the smell of a viewed specimen', 'would blur the legs of an ant', 'would enhance the feel of the user'], 'label': ['A', 'B', 'C', 'D']}",A,magnifying glass is used to see small things by making objects appear bigger,1.0,2.0,a8ecf6eaeb
9-207,What do rotating vanes on an electric fan do to air?,"{'text': ['dampen', 'circulate', 'cool', 'warm'], 'label': ['A', 'B', 'C', 'D']}",B,the vanes rotating in an electric fan causes air to move,0.800000011920929,1.7999999523162842,1e6dc77bb6
8-408,An animal would have its inner parts better protected if it had which of these?,"{'text': ['a backpack on its back', 'a calcium fortified internal structure', 'none of these', 'a shell of cotton'], 'label': ['A', 'B', 'C', 'D']}",B,the skeletal system protects internal organs,1.0,2.0,cf7109905e
1891,Plants require this to grow,"{'text': ['fertilizer', 'cool temperatures', 'non-organic matter', 'H2O'], 'label': ['A', 'B', 'C', 'D']}",D,a plants require water for to grow,0.800000011920929,1.399999976158142,123d66ccd7
7-969,Renewable resources,"{'text': ['often come from fossil fuels', 'take centuries to biodegrade', 'can be used ad infinitum', 'should be used conservatively'], 'label': ['A', 'B', 'C', 'D']}",C,renewable resources can be used over again,1.0,2.0,a8ecf6eaeb
8-124,a day hiking will most likely result in which of these?,"{'text': ['a paling of the skin', 'a greening of the skin', 'an even darker tone', 'none of these'], 'label': ['A', 'B', 'C', 'D']}",C,if something is outside during the day then that something will receive sunlight,1.0,1.2000000476837158,cf7109905e
1288,Refraction,"{'text': ['makes objects appear to be twice their size', 'moves heat energy thru sound waves', 'is the phenomenon involved in mirrors', 'makes a straw appear broken when in a cup of water'], 'label': ['A', 'B', 'C', 'D']}",D,refraction causes something to look different,1.0,1.0,a8ecf6eaeb
9-836,which of these can be considered a stage in the water cycle?,"{'text': ['all of these', 'the combination of nails and hammers', 'the presence of H20', 'the combination of chlorine and gas'], 'label': ['A', 'B', 'C', 'D']}",C,condensation is a stage in the water cycle process,1.0,1.7999999523162842,cf7109905e
9-725,Which of these items is required for a deer to live,"{'text': ['sun', 'iron', 'sand', 'cafeteria'], 'label': ['A', 'B', 'C', 'D']}",A,the sun is the source of energy for life on Earth,1.0,2.0,0317ce7c33
9-973,Where is the best place to shoot animals?,"{'text': ['national park', 'sky', 'forest', 'sea'], 'label': ['A', 'B', 'C', 'D']}",C,national parks limit hunting,1.0,1.2000000476837158,0317ce7c33
7-892,Spiders can catch prey by doing all aside from,"{'text': ['building webs', 'building traps', 'hunting', 'howling'], 'label': ['A', 'B', 'C', 'D']}",D,a spider web is used to capture food by spiders,0.800000011920929,1.7999999523162842,b356d338b7
112,When does electricity flow through a conductor?,"{'text': [""when it's outside around lighting"", ""when it's attached to a battery"", ""when it's attached to a human"", ""when it's near a light bulb""], 'label': ['A', 'B', 'C', 'D']}",B,sending electricity through a conductor causes electricity to flow through that conductor,0.800000011920929,1.600000023841858,7189327f06
9-608,I can use a stopwatch to track,"{'text': ['The number of freckles I have on my back', 'How long the road is', 'My weight loss in 6 months', 'how many marshmallows I can eat in 10 minutes'], 'label': ['A', 'B', 'C', 'D']}",D,a stopwatch is used to measure time,1.0,2.0,cee82219a0
306,"If John were going to the store, how would he measure his trip?","{'text': ['kilometer', 'centimeter', 'decameter', 'meter'], 'label': ['A', 'B', 'C', 'D']}",A,kilometers km are a unit used for measuring distance generally used for values between 1 and 50000000,0.800000011920929,1.2000000476837158,9d751854d9
9-97,A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the t.v. cord into the outlet,"{'text': ['he completed a lap', 'he made a good deal', 'he invented new circuits', 'he completed a circuit'], 'label': ['A', 'B', 'C', 'D']}",D,"when an electrical conductor is plugged into an outlet , a circuit is completed",1.0,2.0,b356d338b7
9-625,Which type of energy is the most environmentally friendly?,"{'text': ['Coal', 'Petroleum', 'Natural Gas', 'Sunlight'], 'label': ['A', 'B', 'C', 'D']}",D,solar energy is a renewable resource,1.0,2.0,8cb5b0688e
8-446,Which form can be made into a triangle?,"{'text': ['ice', 'steam', 'water', 'salt water'], 'label': ['A', 'B', 'C', 'D']}",A,Matter in the solid phase has definite shape,1.0,2.0,a9f90f5da1
9-451,who would see better through an underground tunnel?,"{'text': ['a boy with a pen', 'a man with a stick', 'a man with a spoon', 'a man with a candle and match'], 'label': ['A', 'B', 'C', 'D']}",D,a candle is a source of light when it is burned,1.0,2.0,cf7109905e
884,There are now many more people because of,"{'text': ['efficient farming', 'more cities', 'computers', 'global warming'], 'label': ['A', 'B', 'C', 'D']}",A,the increase of something required by an organism has a positive impact on that organism 's survival,1.0,1.600000023841858,7189327f06
8-267,Water in a sealed jar might do what when placed in the freezer?,"{'text': ['evaporate', 'break it', 'melt', 'run off'], 'label': ['A', 'B', 'C', 'D']}",B,"when water freezes , that water expands",1.0,1.600000023841858,9d751854d9
1230,What causes a chemical reaction?,"{'text': ['mixing and heating edible items', 'putting water in a bowl', 'petting a small cat', 'rolling a ball on a floor'], 'label': ['A', 'B', 'C', 'D']}",A,cooking causes a chemical reaction,1.0,1.0,b356d338b7
9-283,What stores food for future use and is green?,"{'text': ['bacteria', 'trout', 'virus', 'tree'], 'label': ['A', 'B', 'C', 'D']}",D,usually plants store the food they produce for future use,1.0,1.2000000476837158,52dbc5c7af
9-1088,Filling a bottle full of water and then placing it in the freezer can lead to,"{'text': ['loosening of the bottle lid', 'deflation of the bottle', 'ice cubes in the freezer', 'bursting of the bottle'], 'label': ['A', 'B', 'C', 'D']}",D,"when water freezes , that water expands",1.0,1.7999999523162842,a8ecf6eaeb
9-446,What functions without contact between objects?,"{'text': ['weight', 'friction', 'opposites attracting', 'pressure'], 'label': ['A', 'B', 'C', 'D']}",C,magnetism does not require contact between objects to act,1.0,2.0,1e6dc77bb6
168,Which doesn't contain water?,"{'text': ['Sea of Tranquilitiy', 'Caspian Sea', 'Dead Sea', 'Caribbean Sea'], 'label': ['A', 'B', 'C', 'D']}",A,the moon does not contain water,1.0,2.0,be7a45e47c
7-6,Fungi,"{'text': ['can do their food chain jobs without ingestion', 'act as predators in the food chain', 'are always safe to ingest', 'occupy the top of the food chain'], 'label': ['A', 'B', 'C', 'D']}",A,In the food chain process fungi have the role of decomposer,1.0,1.600000023841858,a8ecf6eaeb
172,"Compared to a regular swimmer, a scuba diver deals with more","{'text': ['heat', 'pressure', 'water', 'air'], 'label': ['A', 'B', 'C', 'D']}",B,"as an object descends into water , the pressure on that object will increase",1.0,2.0,7189327f06
1442,What is an example of the fact that a thing is dead once it dies after having previously lived?,"{'text': ['a small squirrel falls from a tree and breaks its leg', 'a panda stops eating and falls into a coma', 'a dog is paralyzed and is unable to move', 'a vibrant cat is deceased after being hit by a car'], 'label': ['A', 'B', 'C', 'D']}",D,if a living thing dies then that living thing is dead,1.0,2.0,b356d338b7
8-212,Thunder clouds are,"{'text': ['filled with beautiful music', 'of a significant weight', 'the color light pink', 'take 10 years to form'], 'label': ['A', 'B', 'C', 'D']}",B,clouds produce rain,1.0,1.2000000476837158,cee82219a0
7-145,If someone is experiencing frequent falls,"{'text': ['they should move out of their house', 'they should just stop trying to walk', 'they should try wearing slicker bottomed shoes', 'they should try putting down carpet or throw rugs'], 'label': ['A', 'B', 'C', 'D']}",D,"as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface",0.800000011920929,1.2000000476837158,a8ecf6eaeb
7-13,It is easiest to get a clear photo of the moon by,"{'text': ['using a large magnifying glass', 'using a telephoto lens', 'using a telescopic lens', 'looking through a microscope'], 'label': ['A', 'B', 'C', 'D']}",C,"as the size of an object appears larger , that object will be observed better",1.0,1.7999999523162842,b356d338b7
7-88,Filling a glass with markers for cup amounts on it would be,"{'text': ['seeing how much data is left on a phone', 'a part of making chili', 'a way to consider getting something', 'a way to collect data'], 'label': ['A', 'B', 'C', 'D']}",D,An example of collecting data is measuring,0.800000011920929,1.0,b356d338b7
9-335,Winter snows follow Autumn's falling leaves by,"{'text': ['three months', 'three days', 'three years', '12 months'], 'label': ['A', 'B', 'C', 'D']}",A,a new season occurs once per three months,1.0,1.600000023841858,7c933a44d8
7-1082,The way that squirrels put away food during the cool season ensures that they,"{'text': ['survive', 'eat', 'live', 'grow'], 'label': ['A', 'B', 'C', 'D']}",A,squirrels gather nuts in the autumn to eat during the winter,1.0,1.2000000476837158,b356d338b7
7-898,An example of a consumer would be,"{'text': ['a deer munching grass', 'a plant beginning to photosynthesize', 'a squirrel eating a bug', 'a wolf eating a deer'], 'label': ['A', 'B', 'C', 'D']}",A,consumers eat other organisms,0.800000011920929,0.4000000059604645,b356d338b7
9-1142,Eating and digesting a large meal is guaranteed to produce,"{'text': ['disease', 'fecal matter', 'fuel', 'fertilizer'], 'label': ['A', 'B', 'C', 'D']}",B,processes sometimes produce waste products,0.800000011920929,1.600000023841858,dc78319bb0
7-926,"Canyons are generally old, huge, and breathtaking and are","{'text': ['brimming to full with sand', 'filled with local wildlife', 'dirty and muddy inside', 'typically materialized with stone'], 'label': ['A', 'B', 'C', 'D']}",D,a canyon is made of rocks,0.800000011920929,1.0,b356d338b7
7-721,"If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid","{'text': ['run a bath', 'use a dehumidifier', 'open a window', 'hope it rains'], 'label': ['A', 'B', 'C', 'D']}",A,humidity is the amount of water vapor in the air,0.800000011920929,1.399999976158142,b356d338b7
9-180,What impacts an objects ability to reflect light?,"{'text': ['color pallete', 'weights', 'height', 'smell'], 'label': ['A', 'B', 'C', 'D']}",A,"as lightness in color of an object increases , the ability of that object to reflect light will increase",1.0,2.0,1e6dc77bb6
9-1013,which of these would make an ideal object to drive in with a hammer?,"{'text': ['an iron nail', 'a metal nail', 'a steel nail', 'all of these'], 'label': ['A', 'B', 'C', 'D']}",D,iron nails are made of iron,1.0,1.0,cf7109905e
9-601,local plant varieties are the best for improving the local,"{'text': ['social status', 'environs', 'satellite reception', 'future'], 'label': ['A', 'B', 'C', 'D']}",B,planting native plants has a positive impact on an ecosystem,1.0,2.0,dc78319bb0
370,Electricity sent through a conductor,"{'text': ['halts the functioning of the conductor', 'moves like traffic through a green light', 'causes fire to flow through the conductor', 'flows heat back to the conductor'], 'label': ['A', 'B', 'C', 'D']}",B,sending electricity through a conductor causes electricity to flow through that conductor,0.800000011920929,1.399999976158142,a8ecf6eaeb
9-1077,"The sun is a source of which, first and foremost?","{'text': ['Light', 'Energy', 'Heat', 'Nutrients)'], 'label': ['A', 'B', 'C', 'D']}",A,the sun is a source of light called sunlight,1.0,1.7999999523162842,6fcf2544e8
9-372,Where in the world will a person have the smallest shadow at noon?,"{'text': ['the arctic circle', 'the south pole', 'the north pole', 'near the equator'], 'label': ['A', 'B', 'C', 'D']}",D,"as a source of light moves directly overhead of an object , the size of the shadow of that object will decrease",1.0,1.600000023841858,3c248b4dc4
9-1091,Oil is a source of a material used for an object with,"{'text': ['wood planks', 'cardboard', 'a large stone', 'wheels'], 'label': ['A', 'B', 'C', 'D']}",D,oil is a source of gasoline,1.0,1.600000023841858,7189327f06
8-289,A magnet would attract a,"{'text': ['Wooden hairbrush', 'Oranges', 'Glassware', 'Zippers'], 'label': ['A', 'B', 'C', 'D']}",D,a magnet attracts ferromagnetic metals through magnetism,1.0,2.0,cee82219a0
9-527,What sort of habitat would living things live in?,"{'text': ['A habitat with plenty of water', 'A habitat with varying weather', 'A habitat that most animals choose', 'A habitat with many toys'], 'label': ['A', 'B', 'C', 'D']}",A,"when a habitat can support living things , living things can live in that habitat",1.0,0.5,32910e3c71
